"desig","details","org","loc","keyskills","date","expLow","expHigh","salLow","job"
"Wipro Hiring for Logistics Process- Sat/sun Fixed Off HR Khushboo Jain","Wipro Hiring for Logistics Process- Sat/sun Fixed Off HR Khushboo Jain","Wipro BPS","Mumbai- Mumbai Suburbs- Navi Mumbai- Thane","international bpo- voice- cse- csa- csr- wipro- logistics...","2018-04-05",0.0,3.0,0.0,"HR"
"Wipro is Hiring for International Airlines @ Powai HR Khushboo Jain","Wipro is Hiring for International Airlines @ Powai HR Khushboo Jain","Wipro BPS","Mumbai- Mumbai Suburbs","airlines- iata- international bpo- travel process- travel- reservation- cse...","2018-04-05",0.0,3.0,0.0,"HR"
"Excellent Opportunity in Wipro Kolkata!!contact HR Pratika","Excellent Opportunity in Wipro Kolkata!!contact HR Pratika","Wipro BPS (A division of Wipro Limited)","Kolkata","Technical Support- Technical Voice Process- International Voice...","2018-04-05",0.0,5.0,100000.0,"HR"
"Wipro Hiring for CHAT & Email Airlines Process HR Sushmita","Wipro Hiring for CHAT & Email Airlines Process HR Sushmita","Wipro BPS","Mumbai- Mumbai Suburbs","international bpo- travel process- cse- csa- csr- Email Process- Chat...","2018-04-05",0.0,2.0,0.0,"HR"
"Wipro Hiring for Logistics Process- Sat/sun Fixed Off HR Sushmita","Wipro Hiring for Logistics Process- Sat/sun Fixed Off HR Sushmita","Wipro BPS","Mumbai- Mumbai Suburbs- Navi Mumbai- Thane","international bpo- voice- cse- csa- csr- wipro- logistics...","2018-04-05",0.0,3.0,0.0,"HR"
"Wipro Hiring for Logistics Process- Sat/sun Fixed Off HR Tejal Somaiya","Wipro Hiring for Logistics Process- Sat/sun Fixed Off HR Tejal Somaiya","Wipro BPS","Mumbai- Mumbai Suburbs- Navi Mumbai- Thane","international bpo- voice- cse- csa- csr- wipro- logistics...","2018-04-05",0.0,3.0,0.0,"HR"
"Wipro Hiring for CHAT & Email Process HR Tejal","Wipro Hiring for CHAT & Email Process HR Tejal","Wipro BPS","Mumbai- Mumbai Suburbs","international bpo- travel process- cse- csa- csr- Email Process- Chat...","2018-04-05",0.0,2.0,0.0,"HR"
"Wipro Hiring for International Airlines in Powai HR Rachel","Wipro Hiring for International Airlines in Powai HR Rachel","Wipro BPS","Mumbai- Mumbai Suburbs- Navi Mumbai- Thane","airlines- iata- voice process- international bpo- voice...","2018-04-05",0.0,5.0,0.0,"HR"
"Urgently Required Sr. HR Recruiter - Only from Healthcare Indusry","Urgently Required Sr. HR Recruiter - Only from Healthcare Indusry","IFANglobal India Pvt. Ltd.","Gurgaon","Selection- Recruitment- Conducting Interviews- HR- Follow Ups- Social Media","2018-04-05",1.0,5.0,225000.0,"HR"
"Urgent Openings for HR Recruiter 6 Months to 3 yrs chennai","Urgent Openings for HR Recruiter 6 Months to 3 yrs chennai","ASAP Info Systems Pvt Ltd","Chennai","Recruitment- Hiring- HR- human resource","2018-04-05",1.0,3.0,0.0,"HR"
"Head HR","Head HR","Strategic Management India Consultants Pvt Ltd","Kolkata","Strategic HR- HR Policies- Talent Acquisition- Talent Management...","2018-04-05",20.0,25.0,0.0,"HR"
"HR Recruiter","HR Recruiter","SUNWELLS OXYGEN INDIA PRIVATE LIMITED","Chennai","HR- Engineering Services- IT- STAFFING- RECRUITMENT","2018-04-05",0.0,3.0,50000.0,"HR"
"HR Executive","HR Executive","Stasia","Chennai","HR Processes- PF- Recruitment- ESI- Payroll- Attendance- Ffs","2018-04-05",1.0,4.0,0.0,"HR"
"Manager - HR","Manager - HR","Dreams Solution","Paonta Sahib","recruitment- employee grievances- employee engagement- employee welfare...","2018-04-05",8.0,13.0,0.0,"HR"
"HR Executive Delhi","HR Executive Delhi","Capital First Limited","Delhi NCR(Rajendra Place)","Recruitment- Talent Acquisition- Hiring- HR- Sourcing- Resourcing...","2018-04-04",0.0,2.0,250000.0,"HR"
"Manager - HR","Manager - HR","Kunstocom India Ltd.","Noida(Phase-II)","PMS- performance management system- KRA- strategy- HR Generalist Activities...","2018-04-04",10.0,15.0,600000.0,"HR"
"HR Operations Associate for Gurgaon (US Shift)","HR Operations Associate for Gurgaon (US Shift)","Choice Consultants","Gurgaon","HR Operations- Communication Skills- Verbal Communication- US Shift","2018-04-05",0.0,3.0,225000.0,"HR"
